127.0.0.1 - [07/Oct/2025:12:12:00 +0200] "GET /upload HTTP/1.1 " 405 1591
127.0.0.1 - [07/Oct/2025:12:12:10 +0200] "GET / HTTP/1.1 " 200 2950
127.0.0.1 - [07/Oct/2025:12:12:10 +0200] "GET /images/pink_rhea.jpg HTTP/1.1 " 200 630269
127.0.0.1 - [07/Oct/2025:12:12:10 +0200] "GET /fonts/ComicNeue-Regular.otf HTTP/1.1 " 200 33325
127.0.0.1 - [07/Oct/2025:12:12:10 +0200] "GET /fonts/ComicNeue_Bold.otf HTTP/1.1 " 200 32897
127.0.0.1 - [07/Oct/2025:12:12:12 +0200] "GET /upload.html HTTP/1.1 " 200 7032
127.0.0.1 - [07/Oct/2025:12:12:12 +0200] "GET /fonts/ComicNeue-Regular.otf HTTP/1.1 " 200 33325
127.0.0.1 - [07/Oct/2025:12:12:12 +0200] "GET /fonts/ComicNeue_Bold.otf HTTP/1.1 " 200 32897
127.0.0.1 - [07/Oct/2025:12:12:15 +0200] "POST /upload HTTP/1.1 " 200 7220
127.0.0.1 - [07/Oct/2025:12:12:58 +0200] "POST /upload HTTP/1.1 " 415 1596
127.0.0.1 - [07/Oct/2025:12:12:58 +0200] "GET /images/error_415.jpg HTTP/1.1 " 200 64816
127.0.0.1 - [07/Oct/2025:12:13:25 +0200] "GET /index.html HTTP/1.1 " 200 2950
127.0.0.1 - [07/Oct/2025:12:13:25 +0200] "GET /images/pink_rhea.jpg HTTP/1.1 " 200 630269
127.0.0.1 - [07/Oct/2025:12:13:26 +0200] "GET /upload.html HTTP/1.1 " 200 7220
127.0.0.1 - [07/Oct/2025:12:13:30 +0200] "POST /upload HTTP/1.1 " 413 1591
127.0.0.1 - [07/Oct/2025:12:13:30 +0200] "   " 400 1513
127.0.0.1 - [07/Oct/2025:12:13:31 +0200] "GET /index.html HTTP/1.1 " 200 2950
127.0.0.1 - [07/Oct/2025:12:13:31 +0200] "GET /images/pink_rhea.jpg HTTP/1.1 " 200 630269
127.0.0.1 - [07/Oct/2025:12:13:31 +0200] "GET /favicon.ico HTTP/1.1 " 200 563999
127.0.0.1 - [07/Oct/2025:12:13:32 +0200] "GET /upload.html HTTP/1.1 " 200 7220
127.0.0.1 - [07/Oct/2025:12:13:35 +0200] "POST /upload HTTP/1.1 " 415 1596
127.0.0.1 - [07/Oct/2025:12:13:35 +0200] "GET /images/error_415.jpg HTTP/1.1 " 200 64816
127.0.0.1 - [07/Oct/2025:12:13:37 +0200] "GET /index.html HTTP/1.1 " 200 2950
127.0.0.1 - [07/Oct/2025:12:13:37 +0200] "GET /images/pink_rhea.jpg HTTP/1.1 " 200 630269
127.0.0.1 - [07/Oct/2025:12:13:37 +0200] "GET /favicon.ico HTTP/1.1 " 200 563999
127.0.0.1 - [07/Oct/2025:12:14:20 +0200] "GET /upload.html HTTP/1.1 " 200 7220
127.0.0.1 - [07/Oct/2025:12:14:25 +0200] "POST /upload HTTP/1.1 " 415 1596
127.0.0.1 - [07/Oct/2025:12:14:25 +0200] "GET /images/error_415.jpg HTTP/1.1 " 200 64816
