      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2025-09-24 16:38:06,      1,       0.03,           0,       0.03,       33.33,        0.00,        1.00,       1,       0
2025-09-24 16:39:32,      1,       0.03,           0,       0.03,       33.33,        0.00,        1.00,       1,       0
2025-09-24 16:42:18,      1,       0.04,           0,       0.04,       25.00,        0.00,        1.00,       1,       0
2025-09-24 16:42:29,      2,       0.03,           0,       0.03,       66.67,        0.00,        2.00,       2,       0
2025-09-24 16:50:41,      2,     486.26,           0,       0.05,        0.00,        0.00,        0.00,       2,       0
2025-09-24 16:52:57,      1,     134.54,           0,       0.11,        0.01,        0.00,        0.00,       1,       1
2025-09-24 16:56:09,      1,     190.87,           0,       0.10,        0.01,        0.00,        0.00,       1,       1
2025-09-24 16:56:57,      1,      47.38,           0,       0.09,        0.02,        0.00,        0.00,       1,       2
2025-09-24 16:58:29,      1,      83.80,           0,       0.11,        0.01,        0.00,        0.00,       1,       2
2025-09-24 16:59:26,      1,      43.15,           0,       0.10,        0.02,        0.00,        0.00,       1,       2
2025-09-24 17:01:09,      0,      93.99,           0,       -nan,        0.00,        0.00,        0.00,       0,       1
2025-09-24 17:02:15,      1,      65.11,           0,       0.09,        0.02,        0.00,        0.00,       1,       1
2025-09-24 17:02:45,      1,      28.31,           0,       0.10,        0.04,        0.00,        0.00,       1,       1
2025-09-24 17:05:30,      0,     164.78,           0,       -nan,        0.00,        0.00,        0.00,       0,       3
2025-09-24 17:06:27,      0,      46.42,           0,       -nan,        0.00,        0.00,        0.00,       0,       2
2025-09-24 17:07:51,      0,      78.95,           0,       -nan,        0.00,        0.00,        0.00,       0,       2
2025-09-24 17:08:53,      0,      61.50,           0,       -nan,        0.00,        0.00,        0.00,       0,       2
2025-09-24 17:10:34,      0,      99.35,           0,       -nan,        0.00,        0.00,        0.00,       0,       2
2025-09-24 17:17:33,      2,     418.73,           0,       0.09,        0.00,        0.00,        0.00,       1,       2
2025-09-24 17:21:27,      1,     226.95,           0,       0.10,        0.00,        0.00,        0.00,       1,       2
2025-09-24 17:21:35,      0,       0.12,           0,       -nan,        0.00,        0.00,        0.00,       0,       3
